"","x"
"1","[ 건축을 꿈꾸다. ]""네가 커서 무엇을 해도 좋으니, 전문가가 되어라.” 35년간 오직 건설업 외길을 걸어오신 아버지께서 늘 하시던 말씀입니다. 건설업에 종사하셨던 아버지를 보며 건축을 꿈꾼 저는 전문가로 거듭나고자 하였습니다. 우선, 학점은 곧 학문에 대한 전문적인 가치를 증명할 수 있는 지표라 생각하였습니다. 설계학문을 수료하면서 저의 것으로 만들고자 하였고, 매학기 최선을 다한 결과 우수한 성적(4.23/4.5)으로 학과에서 수석의 자리에 오를 수 있었습니다. 이러한 결과에 안주하지 않고, 시공분야 또한 관심을 갖고자 하였습니다. 건축기사 자격증을 취득하기 위한 공부를 시작하였고, 시공, 공정관리 등 건축 시공에 있어 전문적인 지식을 습득하고자 하였으며, 이는 자격증 취득이라는 긍정적인 결과로 이어졌습니다. 성장과정을 겪으며 저는 한 분야의 전문가가 되기 위해 노력하는 사람이 되었습니다. 동시에, 전문가가 되기 위한 노력의 결실은 제가 내세울 수 있는 장점이 되었습니다.                         513자865                    "
"2","[성과를 위해 끊임없이 고민하는 역량]청춘으로서 시간을 어떻게 보냈는지 고심한 적이 있습니다. 뭐든 적당히만 외치며 살지는 않았는지 분명 저 자신에게 변화가 필요했습니다. 스펙을 위한 공부가 아닌 입사 후에 펼쳐 보일 실무능력을 확인하고 싶었습니다. 그러던 중 (주)SMI라는 계측장비 판매 회사에서 기술영업 인턴을 모집한다는 소식을 들었습니다. 저의 목표였던 기술영업 직무를 경험해 볼 수 있으며, 직무 수행에 있어 차별화될 수 있는 저만의 역량을 확인할 기회라고 생각하여 도전했습니다. 이렇게 시작된 3개월간의 인턴을 마치던 날 사장님으로부터 예정에 없던 정규직 입사를 제안받았고, 이는 다음의 사례에서 보여준 ‘주도적인 업무수행 능력’ 때문이라고 말씀하셨습니다.당시에 박람회에서 부스 운영을 하며 사람들에게 제품을 설명하는 업무를 맡았습니다. 하지만 첫날 방문자 수는 예상치의 40% 정도였고, 성과 역시 미비했습니다. 사람들의 방문을 기다리는 상황에서는 성과를 내기 어렵다고 판단했습니다. 첫날 행사를 마치고 순간적인 소음을 측정하는 제품의 장점과 더불어 사람들의 이목을 끌 수 있는 ‘일거양득(一擧兩得)의 전략’이 없을까 고민했습니다.해결책은 팀장님의 제품소개 방식에 저의 Idea를 더해 마련할 수 있었습니다. 첫날 팀장님께서 볼펜으로 책상을 두드릴 때 만들어지는 순간적인 소음을 측정하며 제품의 장점을 소개하는 것을 보았습니다. ‘여기에 드럼 연주를 융합하여 리듬과 액션이 더해지면 제품의 장점과 더불어 사람들의 이목을 끌 수 있지 않을까?’라는 생각에 냄비, 플라스틱 통 등의 일상의 물품을 드럼처럼 연주하는 길거리 드럼을 제안했습니다. 결과적으로 드럼연주는 방문자 수 130명으로 3배 증가, 5차례의 데모시연 요청으로 이어졌습니다.인턴을 마치고 저는 자신감이 생겼습니다. 평소 ‘더 나은 방법이 없을까?’를 고민하던 자세는 성과를 위해 끊임없이 노력하는 저만의 역량을 만들어 주었고, 이것이 영업 직무에서 중요하게 여겨진다는 확신이 생겼기 때문입니다.                         1,010자1,736                    "
"3","대학시절, 외국계 기업의 SCM부서에서 6개월간 구매 및 자재관리 직무를 하며 즐거움을 느껴, 공정관리 직무가 적성이라고 생각되어 지원하였습니다. 생산일정에 맞춰, 자재를 조달하고 관리하며 평소 계획적인 성격과 잘 맞는다고 느꼈습니다.  1도급업체의 수급일정에 문제가 있을 경우에 판매일정을 종합적으로 고려하여, 대안을 마련하고 해결하는 과정에서 업무의 보람을 느꼈습니다. 사물인터넷의 시대가 다가오며, LG디스플레이의 터치패드 부분의 성장이 있을 것이라 판단합니다. 산업공학을 전공하고, CPIM 자격시험을 공부하며 지원 직무 이해도를 높여왔습니다. 생산계획 및 관리 분야에서 제 역량을 살려 LG디스플레이의 성장에 기여할 수 있는 인재가 될 것을 확신합니다.                         370자637                    "
"4","""핵열정으로 빅역량을 꿈꾸다""최근 한국의 네티즌들은 특정 키워드를 강조하기 위해서 ‘핵’이란 접두사를 많이 사용합니다. 예를 들면, 엄청나게 재미있는 것은 핵꿀잼, 전혀 재미없는 것은 핵노잼과 같이 표현하게 됩니다. 이것은 더욱 자극적이고 특별하게 표현하고 싶은 심리를 바탕으로 나오게 된 용어라고 생각됩니다. 이를 인용해서 저의 열정을 핵열정이라고 표현하고 싶습니다. 학부에서 6개의 임베디드 관련 프로젝트 수업을 수강하면서 기초회로의 전반적인 지식, 집적회로의 특징, 임베디드 소프트웨어의 기초를 다질 수 있었습니다. 이와 같은 기초지식을 바탕으로 디지털 액자를 직접 구현하여 안드로이드 기반의 앱으로 제어할 수 있는 시스템을 졸업 작품으로 제작하였고 이를 국내 논문으로 제출한 결과 우수논문상을 받았습니다. 하지만 항상 새로운 배움을 갈구하던 저에게는 다양한 지식이 더욱 필요하였습니다. 이를 위해서 4학년 재학 중에는 최신 기술로 부각되던 HTML5와 클라우드 시스템을 배우고자 oo교육센터에서 주관하는 교육을 수강하기도 하였습니다. 또한, 핵열정을 통해서 대학원에 진학하게 되었고 oo전자, oooo과학부, 한국oo재단 등 국내 유수의 기업 및 기관들과 함께 4개 프로젝트의 맡은바 임무를 충실히 수행하면서 지식을 쌓았습니다. 특히, 클라우드 시스템의 효율적인 자원 활용, 고속 데이터 처리를 위한 연구를 통해서 2편의 국제논문을 발표하였고 1건의 우수논문상을 받은 바 있습니다. 이처럼 국내외에서 논문을 통해 이론적으로 그 가치를 인정받았으며 꾸준한 연구활동의 결과 7편의 국내 논문, 3건의 특허출원과 같은 양질의 결과도 함께 얻을 수 있었습니다. 제가 LG 전자에서 일하게 된다면 S/W 개발 능력과 다양한 연구 경험을 통해 서비스 플랫폼 직무에서 제 열정을 무한 방출하고 싶습니다. 정정당당한 기술력으로 압도적인 세계 1위 기업인 LG 전자로 거듭날 수 있도록 기여하겠습니다.                         971자1,650                    "
"5","[고난을 함께하며 배운 책임감과 끈기] 저희 집은 그리 넉넉하지 않은 형편이라 아버지는 항상 주말에도 일을 나가셨습니다. 자연스레 저와 동생은 어머니에 의존해 생활했고, 어머니는 맞벌이를 하시면서 저와 동생을 돌보셨습니다. 하지만 제가 군대를 전역한 직후 어머니는 갑작스레 OO암 판정을 받았습니다. 청천벽력같은 소식이었습니다. 다행히 수술 후 상태가 많이 호전되셨지만 가정형편은 더욱 어려워졌습니다. 저는 이런 가정상황을 이해해 장남으로서 책임감을 갖고 제가 할 수 있는 일은 스스로 하려고 노력했습니다. 항암치료에 들어가는 비용을 보태고 등록금을 벌기 위해 휴학하여 1년간 일을 했습니다. 또한, 대학교 복학 후에도 부모님에게 용돈을 일절 받지 않고 장학금과 아르바이트로 생활비를 마련했습니다. 그리고 힘든 상황에서도 웃음을 잃지 않고 끈기 있게 암과 싸우고, 이겨내시는 어머니를 보며, 어떤 힘든 일이 닥쳐도 끈기를 갖고 포기하지 않으면 해낼 수 있다는 신념을 갖게 됐습니다.[열정으로 이뤄낸 달콤한 성과] 열정을 갖고 도전해 졸업작품을 성공적으로 제작한 경험이 있습니다. 졸업작품 주제를 선정할 때 경사로에서 OO의 미끄러짐에 의한 사고가 많이 발생한다는 뉴스를 보았습니다. 이로부터 ‘손잡이를 놓치면 자동으로 브레이크가 잡히는 OO’를 설계 주제로 선정했습니다. 저희는 전자회로에 문외한이었지만 ‘할 수 있다’는 열정을 갖고 도전했습니다. 손잡이와 브레이크를 전자회로로 연결해 제어하는 아이디어를 냈고, 전자회로 제작을 위해 프로그래밍에 관한 책을 빌렸습니다. 전자과 교수님을 찾아가서 조언을 구하고, 용산전자상가에 직접 찾아가 전문가와 상담하며 전체적인 회로를 디자인했습니다. 그 결과 성공적으로 전자회로를 제작해 OO와 연결했고, 설계 목표를 달성할 수 있었습니다. 저는 저의 가족과 프로젝트로부터 배운 책임감과 끈기, 열정의 가치를 새기고 LG화학 재료사업부문 생산기술 직무에서 발휘하여 OLED물질의 제품경쟁력을 확보하고 세계 시장을 선도하는데 기여하겠습니다.                         1,010자1,742                    "
"6","[건축자재관리, 공사감독병 경험]군시절 `공사감독병` 직책을 수행한 2년의 경험은, 제가 건축분야의 길에 대한 확신을 가질 수 있었던 지표가 되었습니다. 저는 건축 직무를 향한 꿈을 이루기 위해서는 다양한 경험이 필요하다고 생각하였습니다. 때문에 국방의 의무를 수행하는 기간 동안 저는 ‘공사감독병’ 직책을 수행하였습니다. 보수가 필요한 여러 군부대 공사에 참여하여 자재관리, 콘크리트 타설, 기타 건축설비, 내역서 관리 등 공사의 부분적인 과정에 참여하였습니다. 특히 직책을 수행하는 동안 공사의 성격에 맞는 자재를 관리하는 작업은, 학업을 통해서는 배울 수 없었던 가치 있는 경험이 되었습니다. 또한, 공정관리에 참여하면서 공정을 최적화하고, 효율적으로 관리하는 것이 얼마나 중요한지 몸소 느낄 수 있었습니다. 5년간 공부를 통해 습득한 설계지식과, 경험으로써 얻을 수 있었던 설계 이외의 다양한 건축지식은 LG하우시스 기업 내의 해당 직무를 수행함에 있어 최대한의 효율성을 보장할 것입니다.[ 친환경적 생활공간의 창출기업 `LG 하우시스` ]최근 건축 시장은 개인의 삶을 반영한 생활 공간, 다양한 활동을 즐길 수 있는 친환경적인 시설을 필요로 하는 경향을 보이고 있습니다. 이러한 흐름을 잘 파악하고, 종합적인 포트폴리오가 체계적으로 갖추어진 `LG 하우시스` 기업에 큰 매력을 느꼈습니다. 설계사무소 인턴경험을 통해 친환경 건축에 많은 관심을 가졌고, 전문성을 갖추고자 노력하였던 저에게 `LG 하우시스` 장식재사업부문은 저의 건축적인 역량을 발휘할 수 있는 최적화된 분야가 될 것이라 판단하였습니다. 학업에 있어서, 건축환경계획 등의 친환경 관련 정규과목에 특히 중점을 두어 열심히 배웠던 저의 노력 또한 친환경 건축에 대한 이해를 더욱더 높일 수 있었던 계기가 되었습니다. 이러한 관심과 경험을 토대로 장식재 사업부문 직무에 도전하게 되었고, 친환경 건축장식재를 대표적으로 총괄하는 LG하우시스에서 직무를 수행하여 기업의 목표를 달성하는 원동력이 되고 싶습니다.                         1,013자1,731                    "
"7","[개개인의 역량 향상시키기]기술영업팀에서 인턴을 하며 영업직은 기업과 고객의 최접점에 있는 직무임을 몸소 배웠습니다. 일례로, A회사에 데모시연을 위한 출장을 갔었습니다. 예상 시간보다 업무가 길어졌지만, 웃는 얼굴로 고객의 요구사항을 최대한 맞춰주었습니다. 그 결과 2주 뒤에 동종업계의 타 기업 B로부터 데모시연을 요청받았고, 이는 A회사에서 추천을 해줬기 때문이라는 이야기를 들었습니다.이처럼 영업사원 개개인은 기업의 이미지를 담당함은 물론 기업의 매출에도 결정적인 역할을 하고 있었습니다.저의 계획은 기계공학을 전공한 영업직으로서, 그동안 쌓아온 노하우를 바탕으로 ‘이공계 출신 영업사원 가이드라인’을 제작해 후배들 개개인의 역량을 향상시키는 것입니다. 또한, 팀원들 개개인의 역량 분석표를 제작하여 강점을 분석하고 이를 바탕으로 실질적인 성과를 낼 수 있는 업무를 부여하겠습니다. 위 계획은 팀원들의 업무만족도를 높이고, 회사의 수익창출에 기여할 것으로 생각됩니다.                         499자866                    "
"8","OO에서 6개월 간 국내구매 및 자재관리 직무에서 담당자로 업무를 수행했습니다. 기존 담당자의 퇴사로 보조 업무가 아닌 담당자로써 책임감 있게 인턴생활을 하였습니다. 이를 통해 많은 경험과 학습을 하였고 다음과 같은 업무를 인턴기간 동안 수행했습니다.첫째, 공급자 통합을 통해 구매 단가 절감 및 납기관리 개선을 하였습니다. 동종의 제품을 여러 공급자에게 공급 받을 경우, 단가절감과 납기관리가 어렵다는 점을 배울 수 있었습니다. 이 점을 제 담당직무에 적용하려는 시도를 한 것이 내품 박스와 외품 박스의 공급처를 한 곳으로 통합한 것이었습니다. 기존 업체 두 곳의 단가, 리드타임, 유연성 등을 비교하였고, 업체 통합을 통해서 박스 구매비의 5% 이상을 단축하고 납기관리에도 도움이 되었습니다. 둘째, 반제품 생산 프로세스 개선을 통해 리드타임을 30% 이상 단축했습니다. 관리 소홀로 당시 재고 관리비가 목표 대비 15% 이상 초과 된 상태였습니다. 제가 파악한 가장 큰 문제점은 과다 재고였습니다. 판매계획을 공유되지 않아, 협력업체에서는 미리 생산을 하지 않고 있었습니다. 그에 따라 긴 리드타임을 고려해 반제품이 당사 창고의 많은 부분을 차지 하였습니다. 그 해결책으로 협력업체와 월간 판매계획을 공유하고, 업체가 일정 수준의 재고를 보유하도록 제안하여 당사 창고에는 최소 재고만 보유하고, 협력업체에서 실시간 공급을 할 수 있도록 개선하였습니다. 그 결과로, 자재관리 비용 감축 및 리드타임을 평균 7일에서 5일로 30% 이상 개선하였습니다. 인턴 경험을 통해 생산 직무의 현업 업무 프로세스를 익혔습니다. 또한, 프로세스 개선 제안을 통해 문제점을 파악하고, 그것을 분석하여 개선사항을 제시 할 수 있는 시각을 키울 수 있었습니다.                         875자1,488                    "
"9","""개발자의 답은 정공법""대학 졸업 후 1년간 결제와 빌링(Billing) 서비스 솔루션을 제공하는 회사인 oooo에서 근무한 적이 있습니다. 수습기간 동안 웹과 데이터베이스 기술을 기반으로 프로젝트를 진행해야 했습니다. 하지만 H/W 프로그래밍을 전공한 저는 웹 관련 직무에 대한 기초가 부족한 상태였고, 교육이 진행될수록 한계를 느끼게 되었습니다. 이를 극복하고자 정공법을 택했습니다. 모르는 것은 스스로 알 때까지 꾀부리지 않고 DBMS, Ajax, REST, Node.js, 저장프로시저와 같은 기술들을 익혔습니다. 이처럼 수 많은 기술의 동작을 이해해야만 프로젝트를 완료할 수 있었습니다. 부단한 노력의 결과 수습기간 평가에서 가장 좋은 점수를 받았으며, 인사고과에서도 높은 평가를 받을 수 있었습니다. 때로는 주위에서 미련하다는 소리를 들을 수도 있지만, 기술의 습득이 개인 자산이 되는 개발자와 개발회사에는 더 없이 좋은 방법이라는 것을 깨달았습니다.                          491자815                    "
"10","[OLED 디스플레이 성장의 밑거름] 전공수업인 디스플레이재료 과목을 수강하며 OLED에 대해 처음 알게 되었습니다. 기존의 LCD와 전혀 다른 혁신적인 자체발광 디스플레이라는 점에서 큰 흥미를 느꼈고 OLED 물질의 개발과 생산을 하고 싶다는 꿈을 키웠습니다. 이후 OLED에 대한 지식을 더 쌓기 위해 `제7회 OO School` Frontplane과목을 수강했습니다. OLED물질의 구조와 특성을 배우며, 전체 수강생 중 O등으로 수료하였습니다. 또한 저는 분석력과 문제해결능력을 갖고 있습니다. 전공 프로젝트에서 DMADV 공법을 이용해 의족의 문제점이었던 가격과 강도의 개선책을 제안한 경험이 있습니다. 이를 통해 문제를 체계적으로 분석할 수 있는 분석력과 합리적인 해결책을 찾아낼 수 있는 문제해결능력을 키웠습니다. 저는 재료사업부문에서 OLED 물질의 생산기술 엔지니어 직무에서 제 역량을 발휘해 OLED 디스플레이의 시장성장에 밑거름이 되고 싶습니다.                         492자805                    "
